des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2019 KD7,2,2455005.578087636,2009-Jun-23 01:52,0.0372241435427603,0.0338179863976761,0.274000376326239,14.0242738606326,14.0191689715738,6_14:13,21.7,0.1214940408,0.2716689341,5568652.580174345,False
2009 MU,10,2455007.200248651,2009-Jun-24 16:48,0.005938526394358,0.0059262974133299,0.0059507551091136,13.0130468647509,12.9785220651984,< 00:01,24.6,0.0319561887,0.0714562102,56254027.62539565,False
2023 MB6,1,2455010.578778375,2009-Jun-28 01:53,0.0426988821366981,0.0162528488307767,0.168385286629717,11.9252378020832,11.9200039177826,8_01:27,24.67,0.0309424699,0.069189466,12584799.744193807,False
488515,58,2455010.977058814,2009-Jun-28 11:27,0.0179582118121526,0.0179581816780626,0.0179582419462426,10.1388242854155,10.1241797556255,< 00:01,20.71,,,,
2006 MV1,10,2455012.049045562,2009-Jun-29 13:11,0.022421946242394,0.0104319004110365,0.0344367980463039,4.58149437206205,4.5554828056958,6_21:24,26.8,0.0116025908,0.0259441818,1031125.205143381,False
2023 OQ2,7,2455014.367415319,2009-Jul-01 20:49,0.0309896741316053,0.0285493748612144,0.0336703061652594,4.31008147098549,4.29008660931633,1_06:33,27.23,0.0095182033,0.0212833496,558552.66963178,False
2014 MV18,15,2455018.207392142,2009-Jul-05 16:59,0.0123586880359077,0.0123577404370443,0.0123596358621112,6.56373321496563,6.53080411772246,< 00:01,23.83,0.0455569852,0.1018685158,18090148.325141296,False
2009 PD,9,2455019.571266089,2009-Jul-07 01:43,0.0361499200917747,0.0357447792919409,0.0365549122547924,2.98653727680402,2.96175491362391,00:14,24.2,0.0384197891,0.0859092601,70662258.70798291,False
2009 MM8,10,2455025.800871359,2009-Jul-13 07:13,0.0294568080117289,0.0292943166041151,0.0296192903386141,6.00013045503017,5.98503616841976,< 00:01,24.8,0.0291443905,0.0651688382,4406675.73379896,False
613995,23,2455031.133239548,2009-Jul-18 15:12,0.0297248556034614,0.0297245777523076,0.0297251334546271,9.14035602729963,9.1305439116191,< 00:01,22.83,,,,
613569,43,2455033.295683267,2009-Jul-20 19:06,0.0407637466775159,0.0407634860527937,0.0407640073023401,12.037989824373,12.0325587935248,< 00:01,21.91,,,,
2020 OT6,10,2455038.348332544,2009-Jul-25 20:22,0.0381872402563372,0.0381853161000917,0.038189164435896,14.8640626151848,14.8593677281228,< 00:01,20.1,0.2538370294,0.5675968529,30477369.629610643,True
2009 OW6,12,2455041.184268441,2009-Jul-28 16:25,0.0184520877080333,0.018388438359611,0.0185157346547371,7.27556299716868,7.25568860662476,< 00:01,25.4,0.022108281,0.0494356193,2760393.016973199,False
2022 PE,7,2455041.497364904,2009-Jul-28 23:56,0.0264234300652796,0.0208317774821438,0.0324798981040087,3.46167448136371,3.43242111447945,2_15:32,28.29,0.0058419115,0.0130629113,913541.428921251,False
2009 OY7,8,2455041.957558399,2009-Jul-29 10:59,0.0365006113615571,0.0359925696986235,0.0370086445469358,15.5651924202499,15.5605018767696,00:05,24.77,0.0295498293,0.0660754271,5460413.719137718,False
2020 PU4,4,2455045.464329962,2009-Aug-01 23:09,0.0478297203945861,0.0471830251167189,0.196125555566387,10.9270231559812,10.9219238156271,7_18:00,24.0,0.0421264611,0.0941976306,18268635.608288903,False
2009 QS,21,2455048.669131332,2009-Aug-05 04:04,0.0470178308052288,0.0469931809101772,0.0470424807084722,15.0241528035057,15.0203804333329,00:01,22.0,0.1058168859,0.2366137501,28115986.83402183,False
293726,40,2455052.128927781,2009-Aug-08 15:06,0.0215615449112407,0.0215613909472665,0.0215616988752185,6.32980922106744,6.31025623214201,< 00:01,22.64,,,,
2009 PQ1,36,2455052.378550344,2009-Aug-08 21:05,0.0345708241096493,0.0345706294062458,0.0345710188131668,14.7059404854883,14.7006986036304,< 00:01,22.55,0.0821400526,0.1836707413,35060473.55155496,False
2009 OF,25,2455052.487892043,2009-Aug-08 23:43,0.0395785971171892,0.0395768187635055,0.0395803754707222,10.8909469437884,10.8847637961397,< 00:01,21.5,0.1332155667,0.2978790628,6662602.098974428,True
2015 ME131,9,2455052.796895463,2009-Aug-09 07:08,0.0484972074342672,0.0484959372713595,0.0484984777173553,16.7785311246042,16.7752563299593,< 00:01,19.69,0.3065878759,0.6855513317,7365436.334220657,True
2013 BV2,6,2455053.305405734,2009-Aug-09 19:20,0.0268121079554539,0.0263423806308178,0.0740006762756008,11.6283991859172,11.6198500712965,4_20:34,25.4,0.022108281,0.0494356193,23977198.713753317,False
2009 PA3,7,2455053.762231344,2009-Aug-10 06:18,0.010071238484613,0.0098284976852386,0.0103139469561324,12.8154931985405,12.7948325300048,02:00,25.3,0.0231502122,0.0517654482,13935617.946213748,False
2018 OQ,6,2455054.467611369,2009-Aug-10 23:13,0.0352997011386583,0.013877217069684,0.0708032616724248,7.17457734338237,7.1640489093746,5_07:33,26.8,0.0116025908,0.0259441818,57406366.64395607,False
2009 PR1,12,2455056.158574225,2009-Aug-12 15:48,0.0204812756237222,0.0204062814269441,0.0205562666706608,6.73439741615565,6.71505187652641,< 00:01,24.6,0.0319561887,0.0714562102,3063955.204642972,False
2009 QE34,16,2455058.166633992,2009-Aug-14 16:00,0.0172808307547649,0.0172683602402949,0.0172933010068365,4.28014889579552,4.24397226467273,00:01,23.6,0.0506471459,0.1132504611,73783579.19056927,False
